precio,uva,dia,mes,ano,decena_1,decena_2,decena_3
955,463.0,2,1,24,1,0,0
1205,525.0,24,1,24,0,0,1
1165,561.0,1,2,24,1,0,0
1020,680.0,1,3,24,1,0,0
975,716.0,11,3,24,0,1,0
1000,744.0,15,3,24,0,1,0
1000,761.0,20,3,24,0,1,0
990,770.0,25,3,24,0,0,1
975,786.0,3,4,24,1,0,0
970,828.0,10,4,24,1,0,0
1005,860.0,22,4,24,0,0,1
1025,875.0,25,4,24,0,0,1
1010,890.0,30,4,24,0,0,1
1010,894.0,2,5,24,1,0,0
1010,916.0,8,5,24,1,0,0
1010,922.0,10,5,24,1,0,0
1070,938.0,15,5,24,0,1,0
1150,947.0,20,5,24,0,1,0
1260,962.0,24,5,24,0,0,1
1200,965.0,25,5,24,0,0,1
1200,965.0,26,5,24,0,0,1
1200,965.0,27,5,24,0,0,1
1185,973.0,28,5,24,0,0,1
1210,975.0,29,5,24,0,0,1
1210,978.0,30,5,24,0,0,1
1210,981.0,31,5,24,0,0,1
1205,983.0,1,6,24,1,0,0
1205,983.0,2,6,24,1,0,0
1205,983.0,3,6,24,1,0,0
1215,991.0,4,6,24,1,0,0
1245,994.0,5,6,24,1,0,0
1230,997.0,6,6,24,1,0,0
1245,999.0,7,6,24,1,0,0
1245,1002.0,8,6,24,1,0,0
1245,1002.0,9,6,24,1,0,0
1245,1002.0,10,6,24,1,0,0
1260,1010.0,11,6,24,0,1,0
1225,1013.0,12,6,24,0,1,0
1225,1016.0,13,6,24,0,1,0
1225,1019.0,14,6,24,0,1,0
1260,1021.0,15,6,24,0,1,0
1260,1021.0,16,6,24,0,1,0
1260,1021.0,17,6,24,0,1,0
1260,1021.0,18,6,24,0,1,0
1285,1028.0,19,6,24,0,1,0
1280,1030.0,20,6,24,0,1,0
1280,1030.0,21,6,24,0,0,1
1280,1030.0,22,6,24,0,0,1
1280,1029.95,23,6,24,0,0,1
1310,1029.95,24,6,24,0,0,1
1345,1038.46,26,6,24,0,0,1
1345,1039.88,27,6,24,0,0,1
1335,1041.31,28,6,24,0,0,1
1345,1042.74,29,6,24,0,0,1
1345,1042.74,30,6,24,0,0,1
1345,1042.74,1,7,24,1,0,0
1385,1047.04,2,7,24,1,0,0
1410,1048.47,3,7,24,1,0,0
1385,1049.91,4,7,24,1,0,0
1385,1051.35,5,7,24,1,0,0
1400,1052.8,6,7,24,1,0,0
1400,1052.8,7,7,24,1,0,0
1420,1052.8,8,7,24,1,0,0
1420,1057.14,9,7,24,1,0,0
